stimulus_name,speech_rate,pitch_mean,pitch_sd,FL_ratio,AL_ratio,combined_ratio
CV4-L2_B1_4_B1_5-int-dur-rate,4.36690521295835,5.831926636135902,1.4582322001236225,1.2026023658506233,1.5402967182100018,1.8609067124778778
CV4-L2_B1_4_L1_4-int,5.536201430178643,5.9769673500477944,0.9930244110118674,0.9973058517803954,1.17390080939857,1.146457516812683
CV4-L2_B1_4_L1_4-int-dur,5.536201430178642,5.957665505316048,0.9757574147955808,0.931948673235507,1.2383594652475722,1.1989889928973696
CV4-L2_B1_4_L1_4-int-rate,6.273062730627307,6.0441262011177805,0.9513836705177718,0.9973058517803955,1.1739008093985703,1.1464575168126832
CV4-L2_B1_4_L1_4-int-dur-rate,6.273062730627307,6.029088502155805,0.9466269203529076,0.9319486732355058,1.2383594652475725,1.1989889928973692
CV4-L2_B1_4_L1_4-dur,5.536201430178642,5.818687420084724,1.2559471241722613,0.931948673235507,1.2383594652475722,1.1989889928973696
CV4-L2_B1_4_L1_4-dur-rate,6.273062730627307,5.919863943020011,1.2295285486688055,0.9319486732355058,1.2383594652475725,1.1989889928973692
CV4-L2_B1_4_L1_4-rate,6.273062730627307,5.946312480591982,1.244049274718356,0.9973058517803955,1.1739008093985703,1.1464575168126832
CV4-L2_C1_4_C1_5-int-dur-rate,5.689239428183369,5.6730018225250864,1.4966597417907095,1.033367791614026,1.433823889577307,1.4882591680152126
CV4-L2_C1_4_L1_4-int,5.115436665571745,5.573054302691791,0.9425783416594183,1.2030498769177131,1.4322346799827375,1.6048060911965514
CV4-L2_C1_4_L1_4-int-dur,5.115436665571745,5.5604660159417385,0.9297396034705803,0.9319486732355043,1.2383594652475731,1.1989889928973696
CV4-L2_C1_4_L1_4-int-rate,6.273062730627307,5.629515467658081,0.8938174403585168,1.2030498769177131,1.432234679982738,1.604806091196552
CV4-L2_C1_4_L1_4-int-dur-rate,6.273062730627307,5.629515467658081,0.8938174403585168,0.9319486732355058,1.2383594652475725,1.1989889928973692
CV4-L2_C1_4_L1_4-dur,5.115436665571745,5.4574418506115645,1.4482510931025387,0.9319486732355043,1.2383594652475731,1.1989889928973696
CV4-L2_C1_4_L1_4-dur-rate,6.273062730627307,5.559689863341398,1.3924336945626796,0.9319486732355058,1.2383594652475725,1.1989889928973692
CV4-L2_C1_4_L1_4-rate,6.273062730627307,5.559689863341398,1.3924336945626796,1.2030498769177131,1.432234679982738,1.604806091196552
CV4-L2_B1_5_B1_4-int-dur-rate,5.536201430178643,6.18551657021345,1.2650476498766667,0.9973058517803954,1.17390080939857,1.146457516812683
CV4-L2_B1_5_L1_4-int,4.36690521295835,6.215060680153887,1.0239299751687303,1.2026023658506233,1.5402967182100018,1.8609067124778778
CV4-L2_B1_5_L1_4-int-dur,4.3669052129583505,6.1594926762563675,1.0022010268665573,0.9319486732355057,1.2383594652475722,1.198988992897369
CV4-L2_B1_5_L1_4-int-rate,6.273062730627307,6.388712382146428,0.7694957786003164,1.2026023658506235,1.5402967182100027,1.8609067124778786
CV4-L2_B1_5_L1_4-int-dur-rate,6.273062730627307,6.356380958413038,0.7879497183034806,0.9319486732355058,1.2383594652475725,1.1989889928973692
CV4-L2_B1_5_L1_4-dur,4.3669052129583505,6.084628279166781,1.5328608740624463,0.9319486732355057,1.2383594652475722,1.198988992897369
CV4-L2_B1_5_L1_4-dur-rate,6.273062730627307,6.285439124153315,1.4542848597452507,0.9319486732355058,1.2383594652475725,1.1989889928973692
CV4-L2_B1_5_L1_4-rate,6.273062730627307,6.352692431749275,1.44581277211078,1.2026023658506235,1.5402967182100027,1.8609067124778786
CV4-L2_C1_5_C1_4-int-dur-rate,5.115436665571745,5.54190308764502,1.4615324793903672,1.2030498769177131,1.4322346799827375,1.6048060911965514
CV4-L2_C1_5_L1_4-int,5.689239428183369,5.65240801779067,0.9522958668116585,1.033367791614026,1.433823889577307,1.4882591680152126
CV4-L2_C1_5_L1_4-int-dur,5.689239428183369,5.65240801779067,0.9522958668116585,0.9319486732355051,1.238359465247573,1.1989889928973696
CV4-L2_C1_5_L1_4-int-rate,6.273062730627307,5.67126081784902,0.9497110427455757,1.0333677916140258,1.4338238895773072,1.4882591680152129
CV4-L2_C1_5_L1_4-int-dur-rate,6.273062730627307,5.667259000775191,0.953120049521087,0.9319486732355058,1.2383594652475725,1.1989889928973692
CV4-L2_C1_5_L1_4-dur,5.689239428183369,5.591136646720431,1.6272106225107605,0.9319486732355051,1.238359465247573,1.1989889928973696
CV4-L2_C1_5_L1_4-dur-rate,6.273062730627307,5.713011427245386,1.529783758913503,0.9319486732355058,1.2383594652475725,1.1989889928973692
CV4-L2_C1_5_L1_4-rate,6.273062730627307,5.726931237910125,1.5151624644699198,1.0333677916140258,1.4338238895773072,1.4882591680152129
CV4-L1_4,6.273062730627307,4.656337882837414,0.8353015725742121,0.9319486732355058,1.2383594652475725,1.1989889928973692
CVC1-L2_B1_4_B1_5-int-dur-rate,3.347167636590528,6.3245804201645655,1.3305963823192704,1.479335857997757,1.6599386313014097,1.6586822817190023
CVC1-L2_B1_4_L1_4-int,3.7432129755466685,6.654392493548781,1.4555325782137243,1.086866595588951,1.2094922773666248,1.1199099672603041
CVC1-L2_B1_4_L1_4-int-dur,3.7432129755466685,6.580485490870212,1.3300647159672656,1.093215182411349,1.680304337187602,1.6521132922223942
CVC1-L2_B1_4_L1_4-int-rate,4.846022249068687,6.856478483429577,1.3680483680395312,1.086866595588951,1.2094922773666248,1.1199099672603037
